oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,22643,1344445,283000,283000,1061445,0,283000,0,0,28723,28723,0,0,1,6,0,1,0,0,9,6,17471,Apr2022
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,3022,1140724,236000,236000,904724,0,236000,0,0,20053,20053,0,0,0,1,0,0,0,0,3,0,10588,Apr2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,11247,1033580,821000,821000,212580,0,821000,0,0,23842,23842,0,0,0,21,1,1,0,0,120,14,14194,Apr2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,2159,1018462,212000,212000,806462,0,212000,0,0,13833,13833,0,0,0,2,0,0,0,0,0,0,7354,Apr2022
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,11311,1502430,315000,315000,1187430,0,315000,0,0,26491,26491,0,0,0,3,1,5,0,0,14,0,16871,Apr2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,3105,1018628,211000,211000,807628,0,211000,0,0,20149,20149,0,0,0,0,0,0,0,0,0,0,7951,Apr2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,3368,1241643,257000,257000,984643,0,257000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,0,4623,Apr2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,56284,1637673,633000,633000,1004673,0,633000,0,0,27180,6795,20385,0,20,117,22,277,0,0,47,22,13979,Apr2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,7057,1179801,248000,248000,931801,0,248000,0,0,29839,29839,0,0,0,9,0,0,0,0,121,0,12104,Apr2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,10784,1157115,244000,244000,913115,0,244000,0,0,20940,20940,0,0,0,0,0,0,0,0,0,4,15407,May2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,7315,950773,672000,672000,278773,0,672000,0,0,31895,31895,0,0,0,32,0,91,0,0,20,10,11588,May2022
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,2392,887392,184000,184000,703392,0,184000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,3,5196,May2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,71514,3093176,681000,681000,2412176,0,681000,0,0,31910,31910,0,0,1,74,0,79,0,0,32,4,26865,May2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,2200000,2200000,1846487,0,2200000,0,0,26500,11149,15055,296,266,897,6,672,0,0,328,47,7075,May2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,3833,1349096,280000,280000,1069096,0,280000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,3,8258,May2022
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,135556,2583325,1500000,1500000,1083325,0,1500000,0,0,31435,21827,9430,178,91,402,17,598,0,0,103,23,16584,May2022
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,14614,1000166,766000,766000,234166,0,766000,0,0,26657,0,26657,0,11,91,23,224,0,0,33,46,10166,May2022
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,6580,1225666,257000,257000,968666,0,257000,0,0,20628,20628,0,0,0,0,0,0,0,0,0,3,12331,May2022
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,6558,897297,190000,190000,707297,0,190000,0,0,24578,24578,0,0,0,2,0,0,0,0,6,3,11783,May2022
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,163491,2910994,1900000,1900000,1010994,0,1900000,0,0,834,834,0,0,0,0,1,0,0,0,0,3,14282,May2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,66045,1789300,569000,569000,1220300,0,569000,0,0,28132,28132,0,0,0,6,0,1,0,0,47,23,14154,May2022
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1500000,1500000,598324,0,1500000,0,0,26688,1181,25354,153,157,216,4,1026,0,0,146,51,3617,May2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,11244,2459763,511000,511000,1948763,0,511000,0,0,21824,21824,0,0,0,4,0,0,0,0,3,3,11905,May2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,8316,1091106,471000,471000,620106,0,471000,0,0,24016,20910,706,2400,4,85,1,40,0,0,684,29,13872,May2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,38602,2340332,483000,483000,1857332,0,483000,0,0,33348,33348,0,0,0,32,0,105,0,0,19,22,14091,May2022
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,22643,1344445,283000,283000,1061445,0,283000,0,0,28723,28723,0,0,1,5,0,0,0,0,3,3,18679,May2022
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,3022,1140724,236000,236000,904724,0,236000,0,0,20053,20053,0,0,0,1,0,0,0,0,0,6,11205,May2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,11247,1033580,821000,821000,212580,0,821000,0,0,23842,23842,0,0,2,85,0,2,0,0,15,10,16469,May2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,2159,1018462,212000,212000,806462,0,212000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,3,7145,May2022
